CURRENT_ENERGY_RATING,below_c,LODGEMENT_DATE,PROPERTY_TYPE,BUILT_FORM,AGE_BAND_CLEAN,TOTAL_FLOOR_AREA,NUMBER_HABITABLE_ROOMS,MAIN_FUEL_CAT,GLAZED_AREA,WALL_CATEGORY,ROOF_CATEGORY,WINDOW_CATEGORY,HEATING_CATEGORY,LOW_ENERGY_LIGHTING,MECHANICAL_VENTILATION,REPORT_TYPE,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,FLOOR_HEIGHT
C,0,2022-01-11,Flat,Mid-Terrace,before 1900,42.0,2.0,Mains gas,Normal,No insulation,No exposed roof / premises above,Partial/mostly double glazing,Gas boiler,83.0,natural,100,0.0,N,2.42
C,0,2022-01-11,Flat,Semi-Detached,1967-1975,43.0,2.0,Gas - community,Normal,Insulated,No exposed roof / premises above,Full double glazing,Community heating,40.0,natural,100,0.0,N,2.32
C,0,2022-01-11,Flat,Mid-Terrace,1967-1975,63.0,3.0,Mains gas,Normal,No insulation,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.21
C,0,2022-01-11,House,Mid-Terrace,2007-2011,117.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.36
D,1,2022-01-11,House,Mid-Terrace,before 1900,67.0,4.0,Mains gas,Normal,No insulation,300+ mm,Partial/mostly double glazing,Gas boiler,50.0,natural,100,0.0,N,2.53
E,1,2022-01-11,House,Mid-Terrace,before 1900,90.0,4.0,Mains gas,Normal,No insulation,200-299 mm,Partial/mostly double glazing,Gas boiler,92.0,natural,100,0.0,N,2.6
C,0,2022-01-11,Flat,Semi-Detached,2003-2006,59.0,2.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.32
D,1,2022-01-11,Flat,Semi-Detached,1976-1982,48.0,2.0,Mains gas,Normal,Partial/limited insulation,No exposed roof / premises above,Full double glazing,Gas boiler,83.0,natural,100,0.0,N,2.34
C,0,2022-01-11,Flat,End-Terrace,1983-1990,40.0,2.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,83.0,natural,100,0.0,N,2.35
C,0,2022-01-11,Flat,Semi-Detached,1976-1982,48.0,2.0,Mains gas,Normal,Partial/limited insulation,200-299 mm,Full double glazing,Gas boiler,83.0,natural,100,0.0,N,2.34
